ticker,sector
CONCOR.NS,SERVICES
CONCORDBIO.NS,HEALTHCARE
CONFIPET.NS,UNKNOWN
CONSOFINVT.NS,UNKNOWN
CONTROLPR.NS,UNKNOWN
CORALFINAC.NS,UNKNOWN
CORDSCABLE.NS,UNKNOWN
COROMANDEL.NS,CHEMICALS
COSMOFIRST.NS,UNKNOWN
COUNCODOS.NS,UNKNOWN
CPCAP.NS,UNKNOWN
CPEDU.NS,UNKNOWN
CPPLUS.NS,UNKNOWN
CRAFTSMAN.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
CRAMC.NS,UNKNOWN
CREATIVE.NS,UNKNOWN
CREATIVEYE.NS,UNKNOWN
CREDITACC.NS,FINANCIAL_SERVICES
CREST.NS,UNKNOWN
CRISIL.NS,FINANCIAL_SERVICES
CRIZAC.NS,UNKNOWN
CROMPTON.NS,CONSUMER_DURABLES
CROWN.NS,UNKNOWN
CSBBANK.NS,UNKNOWN
CSLFINANCE.NS,UNKNOWN
CTE.NS,UNKNOWN
CUB.NS,FINANCIAL_SERVICES
CUBEXTUB.NS,UNKNOWN
CUMMINSIND.NS,CAPITAL_GOODS
CUPID.NS,UNKNOWN
CURAA.NS,UNKNOWN
CYBERMEDIA.NS,UNKNOWN
CYBERTECH.NS,UNKNOWN
CYIENT.NS,INFORMATION_TECHNOLOGY
CYIENTDLM.NS,UNKNOWN
DABUR.NS,FAST_MOVING_CONSUMER_GOODS
DALBHARAT.NS,CONSTRUCTION_MATERIALS
DALMIASUG.NS,UNKNOWN
DAMCAPITAL.NS,UNKNOWN
DAMODARIND.NS,UNKNOWN
DANGEE.NS,UNKNOWN
DATAMATICS.NS,UNKNOWN
DATAPATTNS.NS,CAPITAL_GOODS
DAVANGERE.NS,UNKNOWN
DBCORP.NS,UNKNOWN
DBEIL.NS,UNKNOWN
DBL.NS,UNKNOWN
DBOL.NS,UNKNOWN
DBREALTY.NS,CONSUMER_SERVICES
DBSTOCKBRO.NS,UNKNOWN
DCAL.NS,UNKNOWN
DCBBANK.NS,UNKNOWN
DCI.NS,UNKNOWN
DCM.NS,UNKNOWN
DCMFINSERV.NS,UNKNOWN
DCMNVL.NS,UNKNOWN
DCMSHRIRAM.NS,DIVERSIFIED
DCMSRIND.NS,UNKNOWN
DCW.NS,UNKNOWN
DCXINDIA.NS,UNKNOWN
DDEVPLSTIK.NS,UNKNOWN
DECCANCE.NS,UNKNOWN
DEEDEV.NS,UNKNOWN
DEEPAKFERT.NS,CHEMICALS
DEEPAKNTR.NS,CHEMICALS
DEEPINDS.NS,UNKNOWN
DELHIVERY.NS,SERVICES
DELPHIFX.NS,UNKNOWN
DELTACORP.NS,UNKNOWN
DELTAMAGNT.NS,UNKNOWN
DEN.NS,UNKNOWN
DENORA.NS,UNKNOWN
DENTA.NS,UNKNOWN
DEVIT.NS,UNKNOWN
DEVX.NS,UNKNOWN
DEVYANI.NS,CONSUMER_SERVICES
DGCONTENT.NS,UNKNOWN
DHAMPURSUG.NS,UNKNOWN
DHANBANK.NS,UNKNOWN
DHANUKA.NS,UNKNOWN
DHARAN.NS,UNKNOWN
DHARMAJ.NS,UNKNOWN
DHRUV.NS,UNKNOWN
DHUNINV.NS,UNKNOWN
DIACABS.NS,UNKNOWN
DIAMINESQ.NS,UNKNOWN
DIAMONDYD.NS,UNKNOWN
DICIND.NS,UNKNOWN
DIFFNKG.NS,UNKNOWN
DIGIDRIVE.NS,UNKNOWN
DIGISPICE.NS,UNKNOWN
DIGITIDE.NS,UNKNOWN
DIL.NS,UNKNOWN
DISHTV.NS,UNKNOWN
DIVGIITTS.NS,UNKNOWN
DIVISLAB.NS,HEALTHCARE
DIXON.NS,CONSUMER_DURABLES
DJML.NS,UNKNOWN
DLF.NS,REALTY
DLINKINDIA.NS,UNKNOWN
DMART.NS,CONSUMER_SERVICES
DMCC.NS,UNKNOWN
DNAMEDIA.NS,UNKNOWN
DODLA.NS,UNKNOWN
DOLATALGO.NS,UNKNOWN
DOLLAR.NS,UNKNOWN
DOLPHIN.NS,UNKNOWN
DOMS.NS,FAST_MOVING_CONSUMER_GOODS
DONEAR.NS,UNKNOWN
DPABHUSHAN.NS,UNKNOWN
DPSCLTD.NS,UNKNOWN
DPWIRES.NS,UNKNOWN
DRCSYSTEMS.NS,UNKNOWN
DREAMFOLKS.NS,UNKNOWN
DREDGECORP.NS,UNKNOWN
DRREDDY.NS,HEALTHCARE
DSSL.NS,UNKNOWN
DTIL.NS,UNKNOWN
DUCON.NS,UNKNOWN
DVL.NS,UNKNOWN
DWARKESH.NS,UNKNOWN
DYCL.NS,UNKNOWN
DYNAMATECH.NS,UNKNOWN
DYNPRO.NS,UNKNOWN
E2E.NS,UNKNOWN
EASEMYTRIP.NS,UNKNOWN
EBGNG.NS,UNKNOWN
ECLERX.NS,SERVICES
ECOSMOBLTY.NS,UNKNOWN
EDELWEISS.NS,UNKNOWN
EFCIL.NS,UNKNOWN
EICHERMOT.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
EIDPARRY.NS,FAST_MOVING_CONSUMER_GOODS
EIEL.NS,UNKNOWN
EIFFL.NS,UNKNOWN
EIHAHOTELS.NS,UNKNOWN
EIHOTEL.NS,CONSUMER_SERVICES
EIMCOELECO.NS,UNKNOWN
EKC.NS,UNKNOWN
ELDEHSG.NS,UNKNOWN
ELECON.NS,CAPITAL_GOODS
ELECTCAST.NS,UNKNOWN
ELECTHERM.NS,UNKNOWN
ELGIEQUIP.NS,CAPITAL_GOODS
ELGIRUBCO.NS,UNKNOWN
ELIN.NS,UNKNOWN
ELLEN.NS,UNKNOWN
